mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15,385,1550
جدة,شمال جدة,حي الصوارى,3 شوارع,سكني,32,1160,1550
الرياض,شرق الرياض,حي الفيحاء,شمال,تجاري,30,10100,550
الرياض,شرق الرياض,حي اليرموك,شرق,سكني أو تجاري,30,900,2600
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,28,14300,4550
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,20,1125,3100
الخبر,,حي التحلية,شمال شرقي,سكني,15,600,1500
الخبر,,حي التحلية,جنوب شرقي,سكني,15,500,1500
الرياض,شرق الرياض,حي الرمال,4 شوارع,سكني,25,27500,1400
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,20,375,1850
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,100,9997,3500
الرياض,شمال الرياض,حي الربيع,جنوب شرقي,سكني,12,1323,3400
الدرعية,,حي الخالدية,شمال,سكني,20,616,3350
الرياض,شمال الرياض,حي الفلاح,غرب,سكني أو تجاري,36,1200,4300
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,765,4118
الخبر,,حي الامواج,شمال غربي,سكني,20,1147,1100
الخبر,,حي الرجاء,شرق,سكني,15,363,1005
الرياض,شرق الرياض,حي الشرق,جنوب,سكني,20,753,332
الدرعية,,حي الخالدية,شمال غربي,سكني,25,1800,3900
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني أو تجاري,36,21574,3700
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,2917,3600
الرياض,شمال الرياض,حي بنبان,شمال,,20,405,765
الخبر,,حي التحلية,شمال غربي,سكني,20,467,1500
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,900,4100
الرياض,غرب الرياض,حي المهدية,جنوب,,15,900,1333
الزلفي,,حي المنتزة,جنوب شرقي,,10,654,114
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15,443,17000
الهفوف,,حي الواحة,شمال,سكني,15,1120,700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,900,3000
الخبر,,حي البحر,3 شوارع,سكني,25,12000,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25,978,4100
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,25,1530,4500
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,20,19620,3300
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,20,625,3300
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,523,4500
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20,2100,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20,1012,3100
بريدة,,حي البصر,جنوب,سكني,15,625,208
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني أو تجاري,60,4724,3700
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18,375,4000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,12,990,1565
الرياض,شمال الرياض,حي بنبان,شمال غربي,سكني أو تجاري,30,5100,700
جازان,,حي السويس,جنوب,تجاري,30,400,875
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,18,494,3550
جدة,شمال جدة,حي النزهة,شرق,سكني,16,750,3200
جدة,شمال جدة,حي الفروسية,شمال,سكني,15,450,1000
جدة,شمال جدة,حي الزمرد,شمال,,15,625,1760
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,890,3000
الرياض,وسط الرياض,حي الربوة,شمال,سكني,20,700,2300
الرياض,غرب الرياض,حي الخزامى,شمال,سكني,20,875,4300
جدة,شمال جدة,حي الروضة,شمال,سكني,15,750,4666
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,20,900,1450
الرياض,شمال الرياض,حي النفل,جنوب شرقي,تجاري,36,2444,4500
الرياض,جنوب الرياض,حي السلي,3 شوارع,سكني أو تجاري,35,1897,1300
الرياض,غرب الرياض,حي الخزامى,جنوب,سكني,30,1620,3800
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,20,750,2400
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,,15,1380,3500
الرياض,شمال الرياض,حي المغرزات,شمال,سكني,15,1225,3000
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,14,638,2750
الرياض,غرب الرياض,حي ضاحية نمار,جنوب غربي,,20,1136,700
الرياض,شرق الرياض,حي الخليج,3 شوارع,سكني,20,805,2400
جدة,شمال جدة,حي بني مالك,4 شوارع,سكني أو تجاري,30,9088,1900
الرياض,شمال الرياض,حي بنبان,4 شوارع,سكني أو تجاري,36,67000,168
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني أو تجاري,80,595998,1000
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,,25,750,650
الرياض,شمال الرياض,حي بنبان,شرق,,15,1500,750
الرياض,شرق الرياض,حي المونسية,شمال شرقي,سكني أو تجاري,30,900,2400
المزاحمية,,حي الغطغط,شمال غربي,سكني أو تجاري,50,11263,67
الرياض,شمال الرياض,حي المغرزات,غرب,سكني,20,600,3250
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,5,806,3000
الرياض,شمال الرياض,حي القيروان,شمال شرقي,,20,827,3100
مكة المكرمة,,حي الملك فهد,غرب,سكني أو تجاري,30,600,1250
الرياض,شمال الرياض,حي العارض,شرق,سكني,15,355,2350
احد رفيده,,حي الزهور,3 شوارع,سكني,20,900,244
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15,375,1500
الرياض,غرب الرياض,حي ظهرة نمار,شمال,سكني,15,2700,1300
الرياض,شرق الرياض,حي المعيزلة,جنوب,تجاري,40,1500,1900
الرياض,شمال الرياض,حي صلاح الدين,شمال,غير محدد,15,405,2950
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25,700,4000
الرياض,غرب الرياض,حي المهدية,جنوب شرقي,سكني,20,900,1444
الرياض,شرق الرياض,حي الاندلس,شمال,,15,312,3200
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,15,435,3500
الرياض,شمال الرياض,حي بنبان,شرق,,20,534,1011
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,سكني,18,1380,3800
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,37,2700,2150
الخبر,,حي الامواج,شمال شرقي,سكني,20,1000,1050
الرياض,شرق الرياض,حي الشهداء,3 شوارع,سكني,20,1250,3200
الرياض,شمال الرياض,حي المروج,شمال,تجاري,30,575,4600
الرياض,غرب الرياض,حي ظهرة لبن,غرب,,20,345,2086
الخبر,,حي الرجاء,جنوب,سكني,40,1408,604
الرياض,شرق الرياض,حي الجزيرة,شرق,سكني,24,731,2600
الرياض,شرق الرياض,حي الروضة,شمال,سكني,15,306,2850
الرياض,شرق الرياض,حي الخليج,جنوب شرقي,سكني,20,750,1800
الرياض,غرب الرياض,حي ظهرة لبن,غرب,سكني,20,256,1953
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,600,2900
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,30,6632,3900
المدينة المنورة,,حي خاخ,شرق,,25,820,182
الخبر,,حي اللؤلؤ,شرق,سكني,20,375,1000
الرياض,غرب الرياض,حي ظهرة لبن,شرق,سكني,20,400,1500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,832,4700
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15,625,3000
الرياض,شرق الرياض,حي السعادة,3 شوارع,تجاري,60,3300,1800
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15,1200,2833
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,594,4100
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,15,420,3500
الخبر,,حي الكوثر,جنوب,سكني,20,950,726
الرياض,شمال الرياض,حي الملقا,شرق,سكني أو تجاري,30,2544,4100
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,15,538,3300
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,15,2250,3400
الرياض,شمال الرياض,حي الوادي,شمال,سكني,15,1856,3000
الرياض,شمال الرياض,حي النخيل,3 شوارع,سكني,31,2700,4800
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,20,6632,4000
الرياض,شمال الرياض,حي المروج,غرب,سكني,15,875,2500
الرياض,شمال الرياض,حي الملقا,شرق,سكني,20,437,3400
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,368,3300
جدة,شمال جدة,حي الصوارى,جنوب غربي,سكني,15,750,1600
جدة,شمال جدة,حي الياقوت,جنوب,سكني,16,675,1303
الرياض,شمال الرياض,حي الملقا,جنوب,,20,800,4500
الرياض,شمال الرياض,حي الصحافة,جنوب,تجاري,60,900,6100
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15,750,666
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20,1200,3500
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,348,4300
الرياض,شمال الرياض,حي حطين,شرق,سكني,15,462,3800
الرياض,غرب الرياض,حي الزهرة,شرق,سكني,20,720,3400
الرياض,غرب الرياض,حي المهدية,شمال,تجاري,35,400,1450
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,2100,3500
بريدة,,حي الجامعيين,شرق,سكني,15,533,300
الرياض,شمال الرياض,حي العارض,3 شوارع,سكني,20,1300,2700
الخبر,,حي اللؤلؤ,جنوب,سكني,20,338,1065
الرياض,جنوب الرياض,حي الشفا,4 شوارع,سكني,16,17820,1200
الرياض,شمال الرياض,حي العارض,4 شوارع,سكني أو تجاري,100,12250,8000
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني,15,1200,3000
الرياض,غرب الرياض,حي ضاحية نمار,3 شوارع,سكني أو تجاري,60,10200,600
الرياض,شرق الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,13,1800,2100
الرياض,شرق الرياض,حي النهضة,غرب,سكني,14,375,2053
الخبر,,حي المرجان,شمال,سكني أو تجاري,40,1526,630
الرياض,غرب الرياض,حي نمار,شمال,سكني,15,1000,1300
المدينة المنورة,,حي النقس,شمال شرقي,,30,1178,700
المدينة المنورة,,حي العزيزية,شرق,سكني,20,1000,1500
الخبر,,حي الكوثر,شمال غربي,سكني,20,972,772
الرياض,شمال الرياض,حي العارض,جنوب شرقي,سكني,19,1263,2400
الرياض,شرق الرياض,حي الحمراء,جنوب,تجاري,36,1059,4000
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,20,375,800
الرياض,غرب الرياض,حي ضاحية نمار,غرب,سكني,20,437,800
الرياض,غرب الرياض,حي ام الحمام الغربي,جنوب شرقي,سكني,15,1000,1700
الرياض,شمال الرياض,حي حطين,جنوب,سكني,30,700,6600
بريدة,,حي سلطانة,غرب,تجاري,10,682,900
الزلفي,,حي حطين,شمال,سكني,30,625,160
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,36,1095,2500
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15,442,1244
ثادق,,حي الجنادرية,جنوب,سكني,15,860,600
الرياض,شرق الرياض,حي النسيم الشرقي,شرق,تجاري,40,1000,2200
الرياض,شمال الرياض,حي الملك عبدالله,4 شوارع,سكني أو تجاري,30,11000,3000
النبهانية,,حي النبهانية,شرق,سكني أو تجاري,30,2375,42
المدينة المنورة,,حي المطار,شرق,سكني,15,500,600
الرياض,شرق الرياض,حي الشرق,شمال,,15,750,180
المزاحمية,,حي الغطغط,شمال غربي,سكني,13,816,117
الخبر,,حي البحر,شرق,سكني,40,2712,2100
الرياض,غرب الرياض,حي المهدية,شرق,تجاري,40,625,1920
الرياض,غرب الرياض,حي الرفيعة,شمال,سكني,20,500,1800
الرياض,شمال الرياض,حي النخيل,جنوب,سكني,20,764,4400
الرياض,شرق الرياض,حي اشبيلية,جنوب,سكني أو تجاري,36,1500,2300
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,463,4000
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,400,4500
الرياض,غرب الرياض,حي ضاحية نمار,جنوب غربي,سكني,15,585,600
الرياض,غرب الرياض,حي المهدية,غرب,سكني,15,900,1200
جدة,شمال جدة,حي الشراع,جنوب,سكني,25,900,2000
الرياض,شرق الرياض,حي قرطبة,4 شوارع,سكني أو تجاري,100,5155,3200
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,60,39000,5000
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20,750,666
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15,1200,2700
الخبر,,حي الصواري,شمال,سكني,15,894,950
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,839,4900
المدينة المنورة,,حي الفتح,شمال شرقي,تجاري,20,1050,8571
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15,526,1250
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني,20,6000,2450
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15,557,1257
تبوك,,حي بترومين,شمال,سكني,15,1050,450
الرياض,شمال الرياض,حي بنبان,جنوب غربي,سكني,20,750,700
الرياض,شمال الرياض,حي بنبان,غرب,,20,1024,781
الرياض,شرق الرياض,حي المونسية,شمال,سكني,18,336,2700
صفوى,,حي ابو معن,شمال,تجاري,50,2000,75
الرياض,شمال الرياض,حي بنبان,شرق,,15,756,595
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,20,373,2400
الرياض,غرب الرياض,حي الخزامى,3 شوارع,سكني,20,6650,4150
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,,20,3046,2300
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15,900,3500
الدمام,,حي العنود,غرب,سكني أو تجاري,30,1000,3000
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15,810,3200
الرياض,جنوب الرياض,حي الشفا,شرق,تجاري,25,875,3000
الرياض,جنوب الرياض,حي عكاظ,4 شوارع,سكني,15,312,1300
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,20,725,3600
الرياض,شرق الرياض,حي المعيزلة,جنوب,سكني,12,525,1400
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15,1200,2916
الرياض,شمال الرياض,حي الياسمين,شرق,,19,350,3500
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15,1200,2500
الخبر,,حي البحيرة,جنوب,سكني,15,556,1200
الرياض,جنوب الرياض,حي بدر,جنوب,سكني,15,10000,850
الرياض,شمال الرياض,حي القيروان,جنوب,سكني,15,367,3000
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,350,2300
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,60,2400,5000
الرياض,شرق الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,30,1800,2300
جدة,شمال جدة,حي الرياض,جنوب غربي,سكني,15,863,336
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,20,832,4000
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,18,375,2300
الرياض,غرب الرياض,حي المهدية,شمال,,15,515,2000
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,40,3840,4600
الرياض,شرق الرياض,حي القادسية,جنوب غربي,تجاري,30,625,2000
الرياض,غرب الرياض,حي عرقة,3 شوارع,تجاري,40,4088,3500
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25,16984,3500
الدمام,,حي الصدفة,جنوب,سكني,15,700,1700
جدة,شمال جدة,حي الزمرد,شمال غربي,سكني,16,625,1600
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,1800,3000
الخبر,,حي العقيق,شرق,سكني,20,500,740
الخرج,,حي الراشدية,شمال,سكني,15,690,289
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,1620,3500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,900,3500
الرياض,وسط الرياض,حي النموذجية,3 شوارع,سكني,20,1680,2000
الرياض,شمال الرياض,حي الملقا,شمال,,20,687,4200
بريدة,,حي الرحاب,جنوب,سكني,15,1000,260
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,375,2200
الرياض,جنوب الرياض,حي عكاظ,شمال غربي,,20,378,1350
الرياض,غرب الرياض,حي المهدية,شمال غربي,,20,900,1444
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,30,1650,3000
الرياض,شمال الرياض,حي القيروان,غرب,,20,390,3600
الرياض,شرق الرياض,حي القادسية,شمال,سكني,15,772,2000
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,30,17000,5500
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,2700,3000
الخبر,,حي الحمرا,شرق,سكني,20,750,2000
الرياض,شرق الرياض,حي اشبيلية,4 شوارع,سكني أو تجاري,36,4080,2200
الرياض,شمال الرياض,حي القيروان,غرب,سكني,15,450,2550
المدينة المنورة,,حي شوران,جنوب,تجاري,25,1000,1100
الخبر,,حي الشراع,جنوب غربي,تجاري,60,1236,2427
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,1050,2100
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني أو تجاري,36,2291,2600
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,15,800,3500
الخبر,,حي اللؤلؤ,شرق,سكني,30,643,777
الخبر,,حي الحمرا,3 شوارع,سكني,40,3500,3000
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,20,600,2800
الدرعية,,حي الدرعية الجديدة,جنوب,,20,12000,140
الرياض,شرق الرياض,حي غرناطة,3 شوارع,سكني,20,1976,2783
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني أو تجاري,30,2044,3200
الرياض,غرب الرياض,حي المهدية,شمال,سكني,25,542,1051
جازان,,حي الصفا,شمال شرقي,سكني أو تجاري,20,618,800
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,1930,4000
الخبر,,حي الجسر,غرب,سكني,25,500,1360
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,18,540,2600
الرياض,جنوب الرياض,حي بدر,جنوب,تجاري,35,2400,1167
الرياض,غرب الرياض,حي المهدية,شرق,سكني,16,450,1445
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,,30,840,1011
الرياض,شمال الرياض,حي بنبان,شمال شرقي,,15,750,813
الرياض,شمال الرياض,حي القيروان,جنوب,,15,300,3150
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني,20,900,1277
الرياض,شرق الرياض,حي الازدهار,شمال غربي,سكني,20,690,3600
الخبر,,حي اللؤلؤ,شرق,سكني,20,600,1100
الرياض,شمال الرياض,حي بنبان,شرق,,15,375,680
الرياض,شمال الرياض,حي المروج,غرب,سكني,15,510,2800
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,12,800,2000
الرياض,شرق الرياض,حي اليرموك,جنوب شرقي,,15,378,2750
الرياض,غرب الرياض,حي لبن,جنوب غربي,سكني,20,900,2300
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,739,3900
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,60,900,1772
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني أو تجاري,84,6010,3500
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,15,375,2600
الرياض,شمال الرياض,حي الياسمين,جنوب,سكني,20,465,3650
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,520,2400
الرياض,جنوب الرياض,حي عكاظ,جنوب,سكني,15,360,2300
الخبر,,حي العقيق,جنوب غربي,,30,1078,600
جدة,شمال جدة,حي النعيم,شمال شرقي,سكني,15,625,4800
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25,6600,4000
الخبر,,حي الكوثر,شمال,سكني,18,437,915
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني أو تجاري,36,12600,3600
الرياض,شمال الرياض,حي الملقا,شمال,,20,2224,3100
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,28,23900,4000
بريدة,,حي الرحاب,شرق,سكني,15,1000,290
الرياض,شرق الرياض,حي الرمال,شرق,سكني,15,496,2000
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15,381,1500
الرياض,شمال الرياض,حي النفل,غرب,تجاري,30,1008,4000
الرياض,شرق الرياض,حي اليرموك,3 شوارع,تجاري,20,3600,2750
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني,20,10000,2600
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,15,12050,3500
الرياض,شمال الرياض,حي الورود,3 شوارع,سكني,20,896,3906
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,28,1930,4200
الرياض,شمال الرياض,حي الغدير,3 شوارع,سكني,15,2400,4200
الرياض,شرق الرياض,حي النهضة,غرب,سكني,15,388,2400
الرياض,شمال الرياض,حي المروج,3 شوارع,سكني,20,1625,3100
الرياض,غرب الرياض,حي المهدية,غرب,سكني,15,525,1142
الرياض,غرب الرياض,حي المهدية,شمال شرقي,سكني,15,671,1100
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,800,3800
جدة,شمال جدة,حي اللؤلؤ,شمال شرقي,سكني,16,400,2125
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20,900,3300
الرياض,غرب الرياض,حي نمار,شمال,تجاري,100,1513,3500
الرياض,شرق الرياض,حي الاندلس,شرق,سكني,15,506,2350
جدة,شمال جدة,حي الزمرد,غرب,سكني,16,625,1600
الدلم,,حي سدير,شرق,تجاري,20,600,400
الرياض,شمال الرياض,حي بنبان,شرق,,15,750,600
الرياض,شرق الرياض,حي القادسية,شرق,تجاري,30,1139,1650
الرياض,شرق الرياض,حي الريان,شرق,,15,775,3000
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,690,3000
الرياض,غرب الرياض,حي المهدية,شمال شرقي,,15,450,1560
الرياض,جنوب الرياض,حي الشفا,3 شوارع,سكني,15,718,1350
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,30,728,2600
الرياض,جنوب الرياض,حي السلي,3 شوارع,تجاري,60,8196,1100
الرياض,شمال الرياض,حي العارض,3 شوارع,,60,3240,3600
جدة,شمال جدة,حي اللؤلؤ,شرق,سكني,15,400,2000
الرياض,شمال الرياض,حي النفل,غرب,سكني,15,375,3000
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,900,2800
الرياض,شمال الرياض,حي بنبان,شمال,سكني,25,750,733
الدمام,,حي احد,شرق,سكني,15,1560,1153
الرياض,جنوب الرياض,حي طيبة,3 شوارع,سكني,20,300,1200
مكة المكرمة,,حي التنعيم,جنوب,سكني,15,880,852
الرياض,شرق الرياض,حي الاندلس,شرق,سكني,15,506,2200
الخبر,,حي التحلية,شمال,سكني,40,1950,1200
الخبر,,حي التحلية,4 شوارع,سكني,20,14250,1450
رابغ,,حي الصليب الغربي,غرب,سكني,15,700,285
تاروت,,حي الاندلس,جنوب,تجاري,5,900,2000
الرياض,شرق الرياض,حي الشرق,غرب,سكني,15,405,1750
الدرعية,,حي الدرعية الجديدة,شمال,سكني,25,622,1000
جدة,شمال جدة,حي الرياض,شمال غربي,سكني,25,616,838
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني,15,6900,2420
الرياض,شمال الرياض,حي السليمانية,غرب,سكني,15,612,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,18,750,4200
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,15,225,3900
الرياض,شمال الرياض,حي المغرزات,شمال,سكني,30,1125,2970
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,15,288,2700
الرياض,غرب الرياض,حي الهدا,شرق,سكني,20,1085,2765
الرياض,شمال الرياض,حي بنبان,شمال,سكني,20,750,706
الرياض,شمال الرياض,حي بنبان,شرق,,20,840,571
الرياض,شرق الرياض,حي النهضة,3 شوارع,تجاري,30,4900,2500
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18,820,3800
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,15,1225,3000
الخبر,,حي الصواري,شمال شرقي,سكني,15,551,1250
الرياض,غرب الرياض,حي لبن,جنوب شرقي,سكني,20,900,2600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,450,2800
الرياض,شرق الرياض,حي قرطبة,4 شوارع,سكني,20,3720,2700
الرياض,شمال الرياض,حي الملقا,شمال شرقي,,20,830,4800
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15,405,3500
الرياض,شمال الرياض,حي حطين,شرق,سكني,28,700,4000
الرياض,غرب الرياض,حي المهدية,شمال شرقي,سكني,25,450,1555
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,25,3139,4100
مكة المكرمة,,حي البحيرات,شمال,سكني,15,715,1940
الرياض,شرق الرياض,حي غرناطة,جنوب غربي,سكني,36,1200,3200
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25,1600,4600
الرياض,شرق الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,30,4000,2500
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15,300,2700
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,25,750,773
الرياض,شمال الرياض,حي الندى,3 شوارع,سكني,15,81120,3250
الرياض,شرق الرياض,حي الشرق,جنوب,سكني,15,770,209
الرياض,شمال الرياض,حي النرجس,جنوب,تجاري,30,900,3700
الخبر,,حي الكوثر,جنوب شرقي,تجاري,60,770,1558
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,20,832,3700
الخبر,,حي الكوثر,جنوب,سكني,20,437,869
الرياض,شرق الرياض,حي اليرموك,شمال,تجاري,36,1155,2500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,594,4100
الرياض,شمال الرياض,حي الملقا,شمال,,25,875,4500
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,18,900,3300
الخبر,,حي اللؤلؤ,غرب,,20,660,1060
الرياض,شرق الرياض,حي اليرموك,غرب,تجاري,30,750,2250
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15,769,4500
الرياض,شرق الرياض,حي الازدهار,شرق,سكني,20,720,3200
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني,20,900,1333
الرياض,جنوب الرياض,حي عريض,غرب,تجاري,30,604,463
الرياض,شرق الرياض,حي القادسية,شرق,تجاري,30,900,1650
المجمعة,,حي الملك عبدالله,شرق,سكني,15,870,396
الرياض,شرق الرياض,حي الملك فيصل,جنوب غربي,تجاري,30,1050,2500
الرياض,شمال الرياض,حي العقيق,غرب,سكني,30,1600,4200
الرياض,شرق الرياض,حي الرمال,جنوب شرقي,تجاري,35,900,1450
الخبر,,حي الرجاء,غرب,سكني,20,437,915
الرياض,شمال الرياض,حي الصحافة,شمال غربي,سكني,15,1800,3000
الرياض,شرق الرياض,حي قرطبة,4 شوارع,تجاري,60,10510,3200
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني أو تجاري,60,48606,1000
الخبر,,حي التحلية,3 شوارع,سكني,20,971,1200
الرياض,شمال الرياض,حي العقيق,جنوب غربي,سكني أو تجاري,30,500,4200
الدمام,,حي المنار,شمال,سكني أو تجاري,30,1051,1250
الرياض,شمال الرياض,حي العارض,شمال غربي,سكني,20,650,2350
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,20,450,1444
المزاحمية,,حي شخيب,جنوب,سكني,15,3850,90
الرياض,شمال الرياض,حي الملقا,4 شوارع,,30,24600,4500
الرياض,شمال الرياض,حي القيروان,شمال,سكني,20,281,3000
جدة,شمال جدة,حي الشراع,غرب,سكني,16,414,2415
الخبر,,حي الحمرا,شمال,سكني,40,875,2000
جدة,شمال جدة,حي الياقوت,غرب,سكني,12,250,2000
الرياض,شمال الرياض,حي العارض,3 شوارع,تجاري,60,3257,3400
حائل,,حي النقرة,شمال غربي,تجاري,40,2400,1041
